N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
94,한화생명,"3,765",145,-3.71%,"5,000","32,700","868,530",7.91,"6,855,344",13.89,1.90,
95,키움증권,"124,000",0,0.00%,"5,000","32,353","26,091",22.51,"97,559",4.48,27.63,
96,롯데쇼핑,"112,000","1,000",-0.88%,"5,000","31,683","28,289",11.45,"137,163",-4.03,-7.70,
97,F&F,"412,500","52,500",+14.58%,500,"31,603","7,661",10.64,"553,415",N/A,N/A,
98,대우건설,"7,570",150,-1.94%,"5,000","31,463","415,623",9.94,"3,658,669",11.08,11.06,
99,LG화학우,"408,000","5,000",-1.21%,"5,000","31,370","7,689",65.82,"11,631",17.76,N/A,
100,일진머티리얼즈,"66,900",400,+0.60%,500,"30,848","46,111",9.69,"213,061",72.17,7.23,
101,효성티앤씨,"710,000","14,000",-1.93%,"5,000","30,727","4,328",20.90,"40,748",22.46,25.10,
102,한국항공우주,"31,500",400,-1.25%,"5,000","30,705","97,475",13.43,"404,383",41.12,6.39,
103,씨에스윈드,"72,700",800,+1.11%,500,"30,659","42,171",10.36,"401,317",86.04,8.19,
104,CJ,"104,500","4,500",-4.13%,"5,000","30,490","29,177",18.06,"166,817",43.00,1.89,
105,OCI,"127,500","3,500",+2.82%,"5,000","30,408","23,849",19.67,"540,765",-19.99,-9.89,
106,BGF리테일,"174,000","4,000",-2.25%,"1,000","30,074","17,284",31.87,"32,253",24.51,18.60,
107,에스원,"79,100",700,-0.88%,500,"30,057","37,999",55.31,"92,868",21.16,10.48,
108,동서,"30,000",100,+0.33%,500,"29,910","99,700",3.61,"110,737",25.55,8.61,
109,KCC,"336,000",0,0.00%,"5,000","29,859","8,886",11.89,"40,864",5.01,12.79,
110,신세계,"302,000","9,500",-3.05%,"5,000","29,732","9,845",29.27,"103,916",-28.73,-2.81,
111,SK케미칼,"251,500",500,+0.20%,"5,000","29,555","11,751",18.18,"41,872",13.05,30.49,
112,한국가스공사,"31,700",200,+0.63%,"5,000","29,263","92,313",8.75,"346,108",-17.01,-2.24,
113,만도,"62,200",200,-0.32%,"1,000","29,207","46,957",23.92,"897,535",505.69,0.37,
114,현대오토에버,"106,000","1,000",+0.95%,500,"29,069","27,424",1.16,"23,970",37.74,11.09,
115,메리츠증권,"4,275",15,+0.35%,"1,000","28,986","678,045",13.94,"2,577,375",5.53,13.08,
116,GS리테일,"36,600",400,-1.08%,"1,000","28,182","77,000",13.98,"205,383",18.81,7.50,
117,한솔케미칼,"245,500","7,500",+3.15%,"5,000","27,828","11,335",40.26,"60,566",21.46,24.50,
